CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031408520934026NH0F;26/09/2022;17;0,042;R
ES0031408520934026NH0F;26/09/2022;18;0,024;R
ES0031408520934026NH0F;26/09/2022;19;0,034;R
ES0031408520934026NH0F;26/09/2022;20;0,035;R
ES0031408520934026NH0F;26/09/2022;21;0,049;R
ES0031408520934026NH0F;26/09/2022;22;0,116;R
ES0031408520934026NH0F;26/09/2022;23;0,083;R
ES0031408520934026NH0F;26/09/2022;24;0,076;R
ES0031408520934026NH0F;27/09/2022;1;0,058;R
ES0031408520934026NH0F;27/09/2022;2;0,024;R
ES0031408520934026NH0F;27/09/2022;3;0,032;R
ES0031408520934026NH0F;27/09/2022;4;0,035;R
ES0031408520934026NH0F;27/09/2022;5;0,024;R
ES0031408520934026NH0F;27/09/2022;6;0,029;R
ES0031408520934026NH0F;27/09/2022;7;0,037;R
ES0031408520934026NH0F;27/09/2022;8;0,024;R
ES0031408520934026NH0F;27/09/2022;9;0,025;R
ES0031408520934026NH0F;27/09/2022;10;0,038;R
ES0031408520934026NH0F;27/09/2022;11;0,055;R
ES0031408520934026NH0F;27/09/2022;12;0,024;R
ES0031408520934026NH0F;27/09/2022;13;0,035;R
ES0031408520934026NH0F;27/09/2022;14;0,031;R
ES0031408520934026NH0F;27/09/2022;15;0,059;R
ES0031408520934026NH0F;27/09/2022;16;0,042;R
ES0031408520934026NH0F;27/09/2022;17;0,024;R
ES0031408520934026NH0F;27/09/2022;18;0,038;R
ES0031408520934026NH0F;27/09/2022;19;0,028;R
ES0031408520934026NH0F;27/09/2022;20;0,025;R
ES0031408520934026NH0F;27/09/2022;21;0,101;R
ES0031408520934026NH0F;27/09/2022;22;0,073;R
ES0031408520934026NH0F;27/09/2022;23;0,095;R
ES0031408520934026NH0F;27/09/2022;24;0,060;E
ES0031408520934026NH0F;28/09/2022;1;0,046;R
ES0031408520934026NH0F;28/09/2022;2;0,023;R
ES0031408520934026NH0F;28/09/2022;3;0,024;R
ES0031408520934026NH0F;28/09/2022;4;0,041;R
ES0031408520934026NH0F;28/09/2022;5;0,024;R
ES0031408520934026NH0F;28/09/2022;6;0,023;R
ES0031408520934026NH0F;28/09/2022;7;0,038;R
ES0031408520934026NH0F;28/09/2022;8;0,026;R
ES0031408520934026NH0F;28/09/2022;9;0,024;R
ES0031408520934026NH0F;28/09/2022;10;0,033;R
ES0031408520934026NH0F;28/09/2022;11;0,056;R
ES0031408520934026NH0F;28/09/2022;12;0,026;R
ES0031408520934026NH0F;28/09/2022;13;0,069;R
ES0031408520934026NH0F;28/09/2022;14;0,024;R
ES0031408520934026NH0F;28/09/2022;15;0,072;R
ES0031408520934026NH0F;28/09/2022;16;0,043;R
ES0031408520934026NH0F;28/09/2022;17;0,024;R
ES0031408520934026NH0F;28/09/2022;18;0,029;R
ES0031408520934026NH0F;28/09/2022;19;0,037;R
ES0031408520934026NH0F;28/09/2022;20;0,024;R
ES0031408520934026NH0F;28/09/2022;21;0,039;R
ES0031408520934026NH0F;28/09/2022;22;0,177;R
ES0031408520934026NH0F;28/09/2022;23;0,089;R
ES0031408520934026NH0F;28/09/2022;24;0,077;R
ES0031408520934026NH0F;29/09/2022;1;0,070;R
ES0031408520934026NH0F;29/09/2022;2;0,026;R
ES0031408520934026NH0F;29/09/2022;3;0,032;R
ES0031408520934026NH0F;29/09/2022;4;0,033;R
ES0031408520934026NH0F;29/09/2022;5;0,024;R
ES0031408520934026NH0F;29/09/2022;6;0,025;R
ES0031408520934026NH0F;29/09/2022;7;0,040;R
