cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0031406180691001QR0F";"2021/01/08";"02:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"03:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"04:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"05:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"06:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"07:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"08:00";"0,077";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"09:00";"0,088";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"10:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"11:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"12:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"13:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"14:00";"0,211";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"15:00";"0,047";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"16:00";"0,032";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"17:00";"0,040";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"18:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"19:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"20:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"21:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"22:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"23:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/08";"24:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"01:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"02:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"03:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"04:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"05:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"06:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"07:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"08:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"09:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"10:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"11:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"12:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"13:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"14:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"15:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"16:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"17:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"18:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"19:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"20:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"21:00";"0,023";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"22:00";"0,032";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"23:00";"0,015";Real;NULL
"ES0031406180691001QR0F";"2021/01/09";"24:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"01:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"02:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"03:00";"0,039";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"04:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"05:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"06:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"07:00";"0,038";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"08:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"09:00";"0,037";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"10:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"11:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"12:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"13:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"14:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"15:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"16:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"17:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"18:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"19:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"20:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"21:00";"0,033";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"22:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"23:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/10";"24:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"01:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"02:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"03:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"04:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"05:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"06:00";"0,036";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"07:00";"0,034";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"08:00";"0,035";Real;NULL
"ES0031406180691001QR0F";"2021/01/11";"09:00";"0,035";Real;NULL
