cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
ES0553000000001456NC;10/07/2022;12:00;0,082;Estimada;0
ES0553000000001456NC;10/07/2022;13:00;0,104;Estimada;0
ES0553000000001456NC;10/07/2022;14:00;0,16;Estimada;0
ES0553000000001456NC;10/07/2022;15:00;0,11;Estimada;0
ES0553000000001456NC;10/07/2022;16:00;0,154;Estimada;0
ES0553000000001456NC;10/07/2022;17:00;0,499;Estimada;0
ES0553000000001456NC;10/07/2022;18:00;0,144;Estimada;0
ES0553000000001456NC;10/07/2022;19:00;0,217;Estimada;0
ES0553000000001456NC;10/07/2022;20:00;0,155;Estimada;0
ES0553000000001456NC;10/07/2022;21:00;0,127;Estimada;0
ES0553000000001456NC;10/07/2022;22:00;0,258;Estimada;0
ES0553000000001456NC;10/07/2022;23:00;0,144;Estimada;0
ES0553000000001456NC;10/07/2022;24:00:00;0,13;Estimada;0
ES0553000000001456NC;11/07/2022;1:00;0,109;Estimada;0
ES0553000000001456NC;11/07/2022;2:00;0,103;Estimada;0
ES0553000000001456NC;11/07/2022;3:00;0,101;Estimada;0
ES0553000000001456NC;11/07/2022;4:00;0,099;Estimada;0
ES0553000000001456NC;11/07/2022;5:00;0,15;Estimada;0
ES0553000000001456NC;11/07/2022;6:00;0,09;Estimada;0
ES0553000000001456NC;11/07/2022;7:00;0,182;Estimada;0
ES0553000000001456NC;11/07/2022;8:00;0,239;Estimada;0
ES0553000000001456NC;11/07/2022;9:00;0,096;Estimada;0
ES0553000000001456NC;11/07/2022;10:00;0,138;Estimada;0
ES0553000000001456NC;11/07/2022;11:00;0,14;Estimada;0
ES0553000000001456NC;11/07/2022;12:00;0,108;Estimada;0
ES0553000000001456NC;11/07/2022;13:00;0,14;Estimada;0
ES0553000000001456NC;11/07/2022;14:00;0,131;Estimada;0
ES0553000000001456NC;11/07/2022;15:00;0,116;Estimada;0
ES0553000000001456NC;11/07/2022;16:00;0,109;Estimada;0
ES0553000000001456NC;11/07/2022;17:00;0,151;Estimada;0
ES0553000000001456NC;11/07/2022;18:00;0,124;Estimada;0
ES0553000000001456NC;11/07/2022;19:00;0,113;Estimada;0
ES0553000000001456NC;11/07/2022;20:00;0,112;Estimada;0
ES0553000000001456NC;11/07/2022;21:00;0,34;Estimada;0
ES0553000000001456NC;11/07/2022;22:00;0,147;Estimada;0
ES0553000000001456NC;11/07/2022;23:00;0,168;Estimada;0
ES0553000000001456NC;11/07/2022;24:00:00;0,209;Estimada;0
ES0553000000001456NC;12/07/2022;1:00;0,718;Estimada;0
ES0553000000001456NC;12/07/2022;2:00;0,704;Estimada;0
ES0553000000001456NC;12/07/2022;3:00;0,351;Estimada;0
ES0553000000001456NC;12/07/2022;4:00;0,197;Estimada;0
ES0553000000001456NC;12/07/2022;5:00;0,13;Estimada;0
ES0553000000001456NC;12/07/2022;6:00;0,123;Estimada;0
ES0553000000001456NC;12/07/2022;7:00;0,166;Estimada;0
ES0553000000001456NC;12/07/2022;8:00;0,09;Estimada;0
ES0553000000001456NC;12/07/2022;9:00;0,082;Estimada;0
ES0553000000001456NC;12/07/2022;10:00;0,083;Estimada;0
ES0553000000001456NC;12/07/2022;11:00;0,083;Estimada;0
ES0553000000001456NC;12/07/2022;12:00;0,093;Estimada;0
ES0553000000001456NC;12/07/2022;13:00;0,109;Estimada;0
ES0553000000001456NC;12/07/2022;14:00;0,368;Estimada;0
ES0553000000001456NC;12/07/2022;15:00;0,138;Estimada;0
ES0553000000001456NC;12/07/2022;16:00;0,19;Estimada;0
ES0553000000001456NC;12/07/2022;17:00;0,152;Estimada;0
ES0553000000001456NC;12/07/2022;18:00;0,13;Estimada;0
ES0553000000001456NC;12/07/2022;19:00;0,114;Estimada;0
ES0553000000001456NC;12/07/2022;20:00;0,116;Estimada;0
ES0553000000001456NC;12/07/2022;21:00;0,131;Estimada;0
